blog_url,broken_link,status_code,status
https://networkdepot.us/blogs/cipa-compliance-grants-tech-discounts,https://www.fcc.gov/consumers/guides/childrens-internet-protection-act,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/tech-in-2013-what-13-things-to-look-forward-to-this-year,http://wireless-charger-review.toptenreviews.com/,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/tech-of-2013,http://www.medgadget.com,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/cold-can-impact-your-tech,https://www.washingtonpost.com/news/capital-weather-gang/wp/2014/01/06/coldest-air-in-years-set-to-grip-the-nations-capital-protect-yourself-your-pets-and-your-home/,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/internet-doomsday-how-to-protect-yourself-from-the-dnschanger-trojan,http://www.dns-ok.us/,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/five-important-nonprofit-technology-trends-in-2025,https://business.adobe.com/blog/basics/marketing-personalization,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/looks-like-blackberry-is-in-a-jam,http://money.cnn.com/2013/11/04/technology/blackberry-fairfax/index.html,502,ERROR/REDIRECT
https://networkdepot.us/blogs/now-is-the-time-to-learn-about-phone-cyber-scams,http://www.microsoft.com/security/online-privacy/avoid-phone-scams.aspx,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/interesting-positive-and-negative-nonprofit-statistics-in-2025,https://www.mckinsey.com/featured-insights/mckinsey-explainers/what-is-generative-ai,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/network-depot-to-lead-webinar-on-cybersecurity-for-nonprofits,https://us02web.zoom.us/meeting/register/tZ0tc-qurDkvEtPughW5OL0r0vzqdE6poLrq#/registration,404,BROKEN
https://networkdepot.us/blogs/new-cybersecurity-certification-required-for-companies-working-with-the-department-of-defense,https://www.cmmcab.org/,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/new-cybersecurity-certification-required-for-companies-working-with-the-department-of-defense,https://www.acq.osd.mil/cmmc/,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/network-depot-achieves-sonicwall-platinum-partner-status,https://networkdepot.com/wp-content/uploads/2024/05/2024-Platinum-1.pdf,404,BROKEN
https://networkdepot.us/blogs/april-fools-it-pranks-to-mess-with-your-co-workers,http://www.dudelol.com/img/voice-activated-printer-good-april-fools-prank-to-use.png,404,BROKEN
https://networkdepot.us/blogs/network-depot-cnsg-holiday-party,https://www.cnsg.com/,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/watch-out-for-the-latest-covid-19-scams,https://cybercrimesupport.org/covid-19-scam-alerts/,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/watch-out-for-the-latest-covid-19-scams,https://www.fcc.gov/covid-scams,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/five-powerful-ai-tools-from-microsoft-for-small-businesses,https://www.copilot.com/,ERROR,ERROR/REDIRECT
https://networkdepot.us/blogs/how-do-i-get-to-the-cloud-the-top-file-storage-and-sharing-programs,https://onedrive.live.com/about/en-us/,404,BROKEN
